bond_id,isin,post_icma_category,impact_metric,impact_type,impact_value,impact_unit,impact_per_million_USD,source_reasoning,source_detail
16169,US052769AH94,Sustainable Water and Wastewater Management,Number of people with access to clean water/sanitation,Social,356000000.0,people,679389.312977,"356 million people ensured access to high-quality water through customers using Autodesk InfoWorks ICM software, funded through $524M allocation to Sustainable Water and Wastewater Management category, divided by total bond value of $1000M to get per million USD figure","Autodesk Sustainability Bond Impact Report, Pages 5, 11, 23"
16169,US052769AH94,Pollution Prevention and Control,Annual GHG emissions reduced/avoided/sequestered,Environmental,361904.0,tCO2e,120634.666667,"361904 tCO2e total from carbon offsets (26606 tCO2e from renewable energy/efficiency projects + 335298 tCO2e from forest conservation/reforestation) purchased with $3M allocation to Pollution Prevention and Control category, divided by total bond value of $1000M to get per million USD figure","Autodesk Sustainability Bond Impact Report, Pages 5, 15"
9784,DE000DB9U7N1,Renewable Energy,Annual renewable energy generation output,Environmental,38202.0,MWh,161085.955984,"Calculated by taking total renewable energy generated (26346061 MWh/year = 26346.061 GWh/year) multiplied by bond's share of Green Liabilities (0.145%) to get 38202 MWh/year (38.202 GWh/year), then divided by bond amount (8.0 million EUR) to get 4.775 GWh per million EUR. Includes Solar (14339516 MWh), Wind (11527172 MWh), and Biomass (479373 MWh) projects.",Green Financing Instruments Report 2022
7548,BE0000356650,Clean Transportation,Additional capacity of clean transportation infrastructure,Environmental,430270000.0,passenger-km,177838.742802,Derived from bicycle allowance initiative with estimated 32.7M EUR allocation. Original value: 430.27 million passenger-kilometers traveled by bicycle due to policy. Calculation: 430.27 Mpkm / 32.7M EUR = 13.16 Mpkm per million EUR invested.,Green OLO Allocation & Impact report 2022
21365,XS2707169111,Pollution Prevention and Control,Amount of waste minimised/reused/recycled,Environmental,25160000.0,containers,2088665.797355,"Based on estimated avoided waste to landfill of 156 million containers. The bond represents 16.13% of the total green bond portfolio, so attributed waste diverted is 156 million containers × 16.13% = 25.16 million containers. Per million euros: 25.16 million ÷ 750 = 0.0335 million containers (33547 containers). Primarily from the Lidl Ireland Deposit Return Scheme which processed 100 million containers.","AIB Group plc Green Bond Report 2024, Page 5; AIB 2024 Impact Assessment"
16207,US09659W2S21,Green Buildings,Green buildings floor area,Environmental,1499253.7,m2,117932.611226,Based on 1499253.7 m² floor area across 25 operational green buildings with financing of €1360.1 million. Calculated as 1499253.7 m² ÷ 1360.1 million EUR = 1102.3 m² per million EUR invested. Attribution based on bond's proportional share of green bond portfolio.,"BNP PARIBAS GREEN BOND 2022 GREEN BOND REPORTING & METHODOLOGY NOTES, Page 18"
18974,XS2100664114,Green Buildings,Annual GHG emissions reduced/avoided/sequestered,Environmental,561698000000.0,tCO2e,839236948.151219,"Original value: 561698 MTCO2e annual CO2 savings from green buildings (Connect Way Manor Royal in London and 44274 Round Table Plaza in Ashburn Virginia), renewable energy purchase agreements in Texas Virginia and North Carolina, and efficiency upgrades. Calculation: 561698 MTCO2e ÷ 744.045 million EUR = 754.9 MTCO2e per million EUR","GREEN BOND ALLOCATION STATEMENT, Page 7"
18839,XS2055744689,Clean Transportation,Number of people with access to affordable public transport,Social,11669024000.05834,people,5068820.519118,"Total of 33 billion passengers transported divided by total allocated net proceeds of EUR 5656 million, yielding 5834512 passengers per million EUR invested. Based on passengers transported on trains financed through EUROFIMA's green bond portfolio.","EUROFIMA - GREEN BOND IMPACT REPORTING - 2025, p.14"
19368,XS2258971071,Sustainable Water and Wastewater Management,Annual volume of wastewater treated avoided reused recycled,Environmental,14000000000.0,m3,243254233.662057,Directly reported in the 2024 Green Bonds Report as 0.014 Mm³/€Mn specifically for this bond (ISIN: XS2258971071). This represents the volume of wastewater treated through wastewater management projects in the portfolio.,GREEN BONDS REPORT 2024
19368,XS2258971071,Sustainable Water and Wastewater Management,Annual water savings water efficiency improvements,Environmental,25000000.0,m3,434382.560111,Reported in the 2023 Green Bonds Report as 0.025 Mm³/€Mn specifically for this bond (ISIN: XS2258971071). This metric represents water supplied through water management projects in the portfolio.,GREEN BONDS REPORT 2023
7921,CH1142512339,Sustainable Water and Wastewater Management,Annual water savings water efficiency improvements,Environmental,2176584.0,m3,209481.220938,Based on Project Aconcagua (desalination plant) with water savings of 69 liters/second. Converted to annual volume: 69 l/s × 60 × 60 × 24 × 365 = 2176584000 liters/year = 2176584 m3/year. Attributed proportionally to this bond's 69% share of the total portfolio (USD 216M of USD 314M total). Calculation: (2176584 m3/year × 0.69) ÷ 216 = 6953 m3 per million USD invested.,"Green Financing Annual Allocation and Impact Report March 2024, Page 13"
24125,XS3035911760,Pollution Prevention and Control,Amount of waste minimised/reused/recycled,Environmental,110334211.0,containers,22049259.0,"Based on total waste diverted from landfill of 156 million containers divided by total eligible portfolio of €6145968446, then multiplied by €1000000. From Circular Economy and Waste Management projects.",AIB 2024 Impact Assessment
34650,CND10006XDQ8,Renewable Energy,Annual energy savings,Environmental,65697870.0,MWh,227051.879408,"Based on total standard coal saved of 8.07 million tons from Wudongde Hydropower Station (6.22 million tons) and Baihetan Hydropower Station (1.86 million tons), divided by total bond value of 20000 million CNY, resulting in 403.5 tons standard coal per million CNY","About the Use of Proceeds and Project Progress of Green Debt Financing Instruments, Page 12"
12929,IE00BFZRQ242,Clean Transportation,Number of people with access to affordable public transport,Social,137700000.0,passenger journeys,93230.230418,"Based on 137.7 million passenger journeys on public transport divided by total allocated amount of €2389.1 million, resulting in 0.058 million (58000) passenger journeys per million euros invested. Projects include public transport services.","Irish Sovereign Green Bond Eligible Green Projects Impact Report 2020, p.11"
16806,US595112BS19,Sustainable Water and Wastewater Management,Annual water savings water efficiency improvements,Environmental,20000000.0,m3,523560.209424,Total water saved from multiple projects (16 million cubic meters from A3 fabrication facility + 4 million cubic meters from water management projects = 20 million cubic meters) divided by total bond amount of $1000 million USD,Micron Green Bond Report 2023
21749,XS2823235085,Pollution Prevention and Control,Amount of waste minimised/reused/recycled,Environmental,21810000.0,containers,2164827.0,"Original portfolio impact of 156 million containers/year avoided waste to landfill was attributed proportionally based on bond's share (13.98%) of the total green bond portfolio, resulting in 21.81 million containers/year for this bond. Divided by €650 million bond value to get per million EUR figure. Represents waste diversion from circular economy and waste management projects.","AIB Group plc Green Bond Report 2024, p.5, 11; AIB 2024 Impact Assessment"
11213,HK0000722089,Clean Transportation,Additional capacity of clean transportation infrastructure,Environmental,285768.0,passenger trips,20495666.237534,Based on South Island Line project with HKD 114M allocation (0.675% of total project cost). Total passenger trips in 2022: 42336000. Attributed trips: 285768 (42336000 × 0.00675). Bond allocated CNY 96.25M to this project (27.5% of total bond). Final calculation: 285768 ÷ 96.25 = 2969 passenger trips per million CNY.,Sustainable Finance Report 2022
11213,HK0000722089,Energy Efficiency,Annual energy savings,Environmental,5155.0,MWh,227840.97363,"Derived from two projects: 1) Replacement of Chillers with HKD 185M allocation (16.8% of total project cost) yielding 5.11 GWh (30.4 GWh × 0.168), and 2) Maritime Square Extension with HKD 90M allocation (3.5% of total project cost) yielding 0.045 GWh (1.275 GWh × 0.035). Total energy savings: 5.155 GWh ÷ 350 million CNY = 0.0147 GWh per million CNY.",Sustainable Finance Report 2022
13214,JP2401001NA0,Renewable Energy,Area of preserved terrestrial and marine natural habitats,Environmental,63000.0,m2,673272.71884,Based on development areas linked to renewable energy allocation (15M JPY): Hibikinada East District Landfill Development (5.9 ha = 59000 m²) and Hibikinada East District SEP ship base (0.4 ha = 4000 m²). Total area 63000 m² divided by 15M JPY = 4200 m² per million JPY.,"Impact Report Handbook, p.15"
13214,JP2401001NA0,Environmentally Sustainable Management of Living Natural Resources & Land Use,Area of farmland/forests under sustainable management practices,Environmental,140728.0,m2,136721.973708,Based on park development (112523 m²) and green area (28205 m²) totaling 140728 m² funded by 165M JPY allocation. Calculation: 140728 m² / 165M JPY = 852.9 m² per million JPY.,"Impact Report Handbook, p.15"
19042,XS2123085958,Environmentally Sustainable Management of Living Natural Resources & Land Use,Area of preserved terrestrial and marine natural habitats,Environmental,3230000.0,m2,230009.126691,"Based on 24 sq. km total area impacted for Environmental Sustainability projects in NGET portfolio. Bond represents 13.46% of portfolio (£83.2m/£618.3m), so attributed impact is 24 sq. km × 13.46% = 3.23 sq. km = 323 hectares. Per million EUR: 323 hectares / €100m = 3.23 hectares per million EUR. Projects include Visual Impact Provision (VIP) projects like Dorset VIP replacing overhead lines with underground cables in areas of natural beauty.",Green Financing Report
19621,XS2315967989,"Eco-efficient & Circular Economy Adapted Products, Production Technologies & Processes",Amount of waste minimised/reused/recycled,Environmental,341480.0,units,5980385.288967,Calculated from 341480 units of green-certified products (including 60000 biodegradable plastic bags in 2020 221000 biodegradable plastic bags and 60480 eco-friendly paper ice packs in 2021) divided by USD 0.0571 million allocated to Production of eco-friendly packaging under the Circular Economy and Design category.,"Annual Sustainability Bond Report, Page 8"
10462,ES0000101966,Terrestrial & Aquatic Biodiversity Conservation,Area of preserved terrestrial and marine natural habitats,Environmental,1193310000.0,m2,134637156.620036,"Calculated from total preserved area of 119331.0 ha across conservation projects (Protected Natural Areas: 118527.0 ha, Green Infrastructure: 581.0 ha, Wetlands: 13.0 ha, Forest areas: 210.0 ha) with total allocation of EUR 8.6 million (119331.0 ÷ 8.6 = 13875.70).","Inaugural 2020 Green Bond & Impact Reporting, Page 10"
17700,USY5257YAM94,Renewable Energy,Annual GHG emissions reduced/avoided/sequestered,Environmental,920000000.0,tCO2e,113580246.91358,Based on 920 MT CO2e of GHG avoided annually from the Solar Energy Project which received $8.1 million (1.3%) of the bond proceeds. Calculation: 920 MT CO2e ÷ 625 million USD = 1.472 MT CO2e per million USD invested.,"Green Bond Post Issuance Report 2022, Page 9"
23249,XS2991273462,Environmentally Sustainable Management of Living Natural Resources & Land Use,Area of farmland/forests under sustainable management practices,Environmental,511095.733711,m2,261165.326713,Original value: 16233 ha for entire portfolio. Calculation: (16233 ha × £178.0 million / £839.4 million) / (£178.0 million / £1 million) = 3.44 ha per £1 million invested. Attribution based on bond's proportion of total allocated amount (21.2%). Includes biodiversity enhancement projects through Great Big Nature Boost initiative.,"Driving Lasting Change, p. 14-15"
19366,XS2257961818,Environmentally Sustainable Management of Living Natural Resources & Land Use,Area of farmland/forests under sustainable management practices,Environmental,5379000000.0,m2,6953999.37952,"Based on 825000 hectares of certified forest land (2023 report). Attribution ratio of 65.2% (672/1031) applied based on bond's contribution to sustainable forest management financing. Calculation: 825000 × 0.652 = 537900 hectares, then divided by 750 million EUR bond value.",Green Bond Report 2023
15045,PHY7302VAJ36,Clean Transportation,Number of people with access to affordable public transport,Social,107845240.0,people,11060046.525993,Based on 107845240 total passengers per year using passenger rail infrastructure with 120 light rail vehicles. Attribution ratio of 4.96% calculated from bond's contribution to clean transportation (PHP 407.04 million) divided by total clean transportation portfolio (PHP 8211 million). Final calculation: 4.96% × 107845240 passengers = 13141 passengers per million PHP.,"RCBC Sustainability Report, p. 45"
15045,PHY7302VAJ36,Access to Essential Services,Number of patients benefitting from medical treatment,Social,4989100.0,people,232570.968099,Based on 4989100 total patients treated. Attribution ratio of 26.30% calculated from bond's contribution to access to essential services - healthcare (PHP 1404.80 million) divided by total healthcare portfolio (PHP 5341 million). Final calculation: 26.30% × 4989100 patients = 933.32 patients per million PHP.,"RCBC Sustainability Report, p. 73"
19327,XS2242924491,Sustainable Water and Wastewater Management,Annual volume of wastewater treated avoided reused recycled,Environmental,28198311.0,m3,830355.475461,"Original portfolio impact: 28198311 m³ of treated wastewater in existing plants. Attribution: 65.3% to green bonds (18413517 m³), then 11.2% to this specific bond (2068003 m³), resulting in 4136 m³/million EUR.","Kuntarahoitus Ojy (MuniFin) - Green Impact Report - 2024, Page 15"
20971,XS2592659671,Green Buildings,Green buildings floor area,Environmental,111483.6,m2,163358.385206,"Calculated from 1.2 million square feet of LEED Gold certified floor space at the Ontario Distribution Center, divided by the bond's net proceeds of 495.85 million EUR. Original value of 2420.29 ft² per million EUR was converted to 224.85 m² per million EUR invested (using conversion factor 1 ft² = 0.0929 m²).","Green Bond Impact Report, Page 10"
23095,XS2986275076,Pollution Prevention and Control,Amount of waste minimised/reused/recycled,Environmental,3874.7,tons,139530.428451,"Total waste recycled of ~24066226 tons/year across facilities in Qatar (2226 tons), Philippines (42000 MT/year), Thailand (22000 tons/year), UK (~10000000 tons/year), and US (>14000000 tons/year). Bond's proportion (0.016%) applied: 24066226 × 0.000161 = 3874.7 tons/year, which equals 1030.5 tons/year per million USD invested.","Standard Chartered Bank Annual Review by Sustainalytics, February 10, 2025"
23095,XS2986275076,Sustainable Water and Wastewater Management,Annual volume of wastewater treated avoided reused recycled,Environmental,5474.0,m3,234669.328024,Based on 34 billion liters/year of wastewater treated in Qatar projects. Bond's proportion (0.016%) applied: 34000000000 × 0.000161 = 5474000 liters/year. Converted to m3 and normalized per million USD: 5474 m3/million USD invested.,"Standard Chartered Bank Annual Review by Sustainalytics, February 10, 2025"
19738,XS2338564870,Renewable Energy,Annual renewable energy generation output,Environmental,41853966.0,MWh,174813.778052,"Original reported value: 41853966 MWh (41854 GWh) annual renewable energy generated from wind power technology projects. Attribution: 50% of total impact allocated to this bond (€500M of €1B total green financing), resulting in 20926983 MWh. Final figure calculated as 20926983 MWh ÷ 500 million EUR = 41854 MWh (41.854 GWh) per million EUR invested.",ZF Green Finance Report 2023
13505,JP340460AN53,Environmentally Sustainable Management of Living Natural Resources & Land Use,Area of farmland/forests under sustainable management practices,Environmental,84050000.0,m2,2641856.699655,Based on 8405 hectares of FSC certified forests acquired through Summit Forests New Zealand Ltd that received JPY 5.1 billion allocation. Calculation: 8405 ha/5100 million JPY = 1.648 ha per million JPY.,"Reporting of Sumitomo Corporation's 60th unsecured bonds, Page 1; Sumitomo Corporation (2022 Green Bond) Annual Review"
17371,US931142ET65,Terrestrial & Aquatic Biodiversity Conservation,Area of preserved terrestrial and marine natural habitats,Environmental,459484239.0,m2,44181176.826923,Based on 2022 data showing 113537 acres preserved divided by the total bond value of $2000 million. Through the Acres for America program which received $10.4 million of Green Bond net proceeds from FY2021-FY2023.,Green Bond 2022 Impact Report
23025,XS2980743384,Sustainable Water and Wastewater Management,Annual volume of wastewater treated avoided reused recycled,Environmental,29340.0,m3,533454.545455,"Based on total portfolio impact of 68.46 billion liters/year from wastewater treatment facilities in Qatar (34 billion L/year) and South Korea (34.46 million tonnes/year). Bond's proportional share (0.043%) equals 29.34 million liters/year, converted to 2.934 million m3/year per million USD invested.","Standard Chartered Bank Annual Review by Sustainalytics, Page 18"
20948,XS2589440119,Bond-Wide,Area of farmland/forests under sustainable management practices,Environmental,2875000.0,m2,99907.98735,"Based on 273138 hectares with new/improved irrigation or drainage services through IBRD's portfolio in FY23. Attribution ratio of 0.00105 applied (bond's USD 26.75 million contribution to total IBRD disbursements of USD 25.5 billion), then scaled to per million EUR.","Sustainable Development Bonds & Green Bonds, Page 81; World Bank (IBRD) Green Bonds"
